Glottocode,LanguageName,macroarea,family_name,latitude,longitude,total_phonemes,has_click,has_tone_segment,kmeans_cluster,kmeans6_cluster,hier_cluster
bard1255,Bardi,Australia,Nyulnyulan,-16.6274,122.906,24,False,False,4,6,2
bare1276,Baré,South America,Arawakan,1.91649,-66.828,23,False,False,8,5,10
bare1279,Barein (Jalking),Africa,Afro-Asiatic,10.970124,17.911727,44,False,True,7,3,3
bari1286,Bariai,Papunesia,Austronesian,-5.5087,148.666,17,False,False,8,2,9
bari1297,Barí,South America,Chibchan,9.08497,-72.9353,22,False,False,10,5,6
barr1247,Malthanmungu,Australia,Pama-Nyungan,-14.1219,144.531,25,False,False,4,6,2
baru1269,Baruga,Papunesia,Nuclear Trans New Guinea,-9.40132,148.761,24,False,False,10,5,6
basa1284,Basaa,Africa,Atlantic-Congo,3.80765,10.4213,38,False,True,9,4,4
bash1264,Bashkir,Eurasia,Turkic,53.5967,56.5594,39,False,False,1,2,9
basq1250,Zuberoan Basque,Eurasia,Basque,43.2787,-1.31622,43,False,False,1,2,8
bass1260,Bassossi,Africa,Atlantic-Congo,5.23655,9.52275,34,False,True,7,4,3
bata1285,Banoo,Africa,Atlantic-Congo,1.397041,9.51011,31,False,True,9,4,4
bata1289,Toba-Batak,Papunesia,Austronesian,2.35498,99.1761,27,False,False,8,2,9
bata1293,Karo Batak,Papunesia,Austronesian,2.12787,98.2517,24,False,False,8,2,9
bats1242,Bats,Eurasia,Nakh-Daghestanian,42.1806,45.344,51,False,False,1,2,10
baur1253,Baure,South America,Arawakan,-13.61,-63.68,18,False,False,6,5,7
